作品中文名稱,作品英文名稱,年份,客戶資訊,作品敘述,作品照片檔案名稱
青梅竹馬,Abroad Promotion for Taipei Story,1987,Film | Edward Yang | Client: Edward Yang,結繩 ● 電影英文片名 Taipei Story ● 盧卡諾影展國際影評人協會獎  記事 ● 導演一貫對都會文化的觀察敘事  NOTE ● 愛情的圖像，隨著一張花布在時間上回流,poster1.jpg
外籍新娘,"We, Taipei,...Care!!!",1988,Public welfare | Client: Rerum Novarum Center,"結繩 ● 落葉飄流的新移民，台灣新婚夫婦中, 4 比 1 是外籍新娘 記事 ● 在翠綠花葉之間，充滿了少女在異鄉的夢與鄉愁 NOTE ● 圖像流露出在同一塊土地生活應有的尊重",poster2.jpg
冬冬的假期,Abroad Promotion for A Summer at Grandpa's,1988,"Film | Hou Hsiao Hsien | Client: Government Information Office, Republic of China (Taiwan)",結繩 ● 電影獲南特三大洲影展最佳劇情片獎 記事 ● 假期，是小孩的奇異旅程 NOTE ● 孩子的空間讓人著迷，對小孩來說，很多東西都是很大，自己很小,poster3.jpg
解嚴前後劉振祥街頭影像展海報,Before and After the Lifting of Martial Law-Street,1988,photography | Client: Liu Chen-Hsiang,結繩 ● 流亡海外許信良與將經國逝世的二張街頭攝影對比 記事 ● 台灣地區自三十八年起戒嚴，七十六年宣告台灣地區解嚴 NOTE●圖像它跨出一步，走入歷史中...... ,poster4.jpg
1989金馬國際影展,1989 Taipei Golden Horse Film Festival,1989,Film Festival | Client: Chinese Taipei Film Archive,結繩 ● 1989金馬獎國際影展 記事 ● 金馬字形倒置書寫 NOTE ● 黑墨落地在陰丹士林藍,poster5.jpg
回頭是彼岸,The Island and the Other Shore,1989,Performance | Stan Lai | Client: Performance Workshop Theatre Taiwan,結繩 ● 戲劇充滿交錯對比的手法  記事 ● 佈局實虛，一分為二 NOTE ●這一邊到那一邊要怎麼走,poster6.jpg
悲情城市,A City of Sadness,1989,Film | Hou Hsiao Hsien | Client: The Coop. Film & Production,"結繩 ● 波折的筆觸沖刷書寫，將俇亂""二二八""暗藏在中  記事 ● 電影悲情城市 獲1989第四十六屆義大利威尼斯國際影展金獅奬 NOTE ● 不論你接不接受這個事件，那個時代已經結束",poster7.jpg
歡喜清心,Heart Sutra (Epigraphy By Pan Rong-Xi),1989,Client: Liu Kai’s Creation and Development,結繩 ● 潘榮錫先生創作的五十六枚金石篆刻是緣起 記事 ●  般若波羅蜜多心經 NOTE ● 見石如見人,poster8.jpg
3H電影公司標誌,Symbol Mark for 3-H Films Ltd.,1990,Logo | Hou Hsiao Hsien | Client: 3-H Films Ltd.,結繩 ● 三個H的錯置，傳遞侯氏的電影藝術 記事 ● 易經的圖像變化為英文縮寫  NOTE ● 學問是從非學問來----侯氏語錄,poster9.jpg
大家一起來跳舞,Come Dance With Me,1990,Performance | Stan Lai | Client: Performance Workshop Theatre Taiwan,結繩 ●  黑色喜劇 ，都會人的荒謬奇想 記事 ● 只有線條，和一双諷刺的高更鞋 NOTE ● 反正事情已經到了這個地步,poster10.jpg
非要住院,Hospitalization Is a Must,1990,Performance | Stan Lai | Client: Performance Workshop Theatre Taiwan,結繩 ● 沒有病，為什麼非要住院？ 記事 ● 瘋人恍惚頭像，在白色的框邊中，形成一扇窗戶  NOTE ● 圖像的發想也是一種病,poster11.jpg
把我自己掏出來 ● 趙一豪,Re- master Return to the Masters,1990,Music | Zhao Yi- Hao | Client: Crystal Records,結繩 ●  水晶唱片 台灣本土音樂 記事 ● 搖滾  把自己掏出來 NOTE ● 喵一眼就可以看到噪音,poster12.jpg
財勢雜誌,Visual Identity for Political & Economic Monthly,1990,Magazine | Client: Political & Econonic Monthly,結繩 ● 主權，社會運動，以及台灣政治動盪的時事新聞 記事 ● 解嚴前後 ●學運● 釣魚台事件  NOTE ● 圖像在座標中作為事件檢視與批判,poster13.jpg
暗戀桃花源,Secret Love In Peach Blossom Land,1991,Performance | Stan Lai | Client: Performance Workshop Theatre Taiwan,結繩 ●  戲中戲，一下是追逐暗戀，一下是追尋桃花源 記事 ● 91版 海報，桃花源版和暗戀版二張 NOTE ● 晉太元中，武陵人，捕魚為業，緣溪行，忘路之遠近.......,poster14.jpg
台灣怪譚,Strage Tales from Taiwan,1991,Performance | Stan Lai | Client: Performance Workshop Theatre Taiwan,結繩 ● 一個散神、岔題的說書人正在說一個關於一個人格分裂的人的故事 記事  ● 紅底黑塊的台灣膏藥， 李立群獨角演出  NOTE ● 跌打損傷的神經圖像,poster15.jpg
1991第三十六屆亞太影展,"The 36th Asia-Pacific Film Festival, Taipei 1991",1991,"Film Festival | Client: Central Film Co., Ltd.",結繩 ● 亞太各國簽寫影展名稱作為參選宣示，也為海報主視覺 記事 ● 多變的孫悟空為影展活動造型● 競賽型影展 NOTE ●  圖像風貌需要經歷一段青澀時光 ,poster16.jpg
來自臺灣底層的聲音,The Voices from the Underground of Taiwan,1991,Music | Client: Crystal Records,結繩 ● 文化來自低層，聲音更是 記事 ● 在搖盪的時代 NOTE  ● 低層面對猛獸的迷思，也是一種圖像包裝,poster17.jpg
淡水河金門王海報,Tanshui-sung in creaking,1992,"Music | Client: Magic Stone Music Co., Ltd.","結繩 ● 有緣,無緣,大家來作伙.......  記事 ● 走唱角色的攝像寫照 NOTE ● 圖像行為是主觀 ，界定對我而言是一種困撓",poster18.jpg
